,SCHOOL_YEAR,School District Code,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,Revenues/Expenditures,Description,REV_EXP_VALUE,Dollars per FTE
45,2017-18,601,Appling County,0177,Appling County Elementary School,K-12 Expenditures,Debt Services,0.0,0.0
46,2017-18,601,Appling County,0177,Appling County Elementary School,K-12 Expenditures,General Administration,0.0,0.0
47,2017-18,601,Appling County,0177,Appling County Elementary School,K-12 Expenditures,Instruction,3644820.53,6054.52
48,2017-18,601,Appling County,0177,Appling County Elementary School,K-12 Expenditures,Instructional Support,113805.64,189.05
49,2017-18,601,Appling County,0177,Appling County Elementary School,K-12 Expenditures,Maintenance and Operations,126384.3,209.94
50,2017-18,601,Appling County,0177,Appling County Elementary School,K-12 Expenditures,Media,96503.92,160.31
51,2017-18,601,Appling County,0177,Appling County Elementary School,K-12 Expenditures,Pupil Services,69175.43,114.91
52,2017-18,601,Appling County,0177,Appling County Elementary School,K-12 Expenditures,Renovation and Capital Projects,0.0,0.0
53,2017-18,601,Appling County,0177,Appling County Elementary School,K-12 Expenditures,School Administration,321050.54,533.31
54,2017-18,601,Appling County,0177,Appling County Elementary School,K-12 Expenditures,School food Services,0.0,0.0
55,2017-18,601,Appling County,0177,Appling County Elementary School,K-12 Expenditures,Transportation,0.0,0.0
56,2017-18,601,Appling County,0103,Appling County High School,K-12 Expenditures,Debt Services,0.0,0.0
57,2017-18,601,Appling County,0103,Appling County High School,K-12 Expenditures,General Administration,0.0,0.0
58,2017-18,601,Appling County,0103,Appling County High School,K-12 Expenditures,Instruction,5678595.29,5735.95
59,2017-18,601,Appling County,0103,Appling County High School,K-12 Expenditures,Instructional Support,233784.33,236.15
60,2017-18,601,Appling County,0103,Appling County High School,K-12 Expenditures,Maintenance and Operations,430938.02,435.29
61,2017-18,601,Appling County,0103,Appling County High School,K-12 Expenditures,Media,131350.41,132.68
62,2017-18,601,Appling County,0103,Appling County High School,K-12 Expenditures,Pupil Services,409597.27,413.73
63,2017-18,601,Appling County,0103,Appling County High School,K-12 Expenditures,Renovation and Capital Projects,0.0,0.0
64,2017-18,601,Appling County,0103,Appling County High School,K-12 Expenditures,School Administration,391264.55,395.22
65,2017-18,601,Appling County,0103,Appling County High School,K-12 Expenditures,School food Services,0.0,0.0
66,2017-18,601,Appling County,0103,Appling County High School,K-12 Expenditures,Transportation,0.0,0.0
67,2017-18,601,Appling County,0195,Appling County Middle School,K-12 Expenditures,Debt Services,0.0,0.0
68,2017-18,601,Appling County,0195,Appling County Middle School,K-12 Expenditures,General Administration,0.0,0.0
69,2017-18,601,Appling County,0195,Appling County Middle School,K-12 Expenditures,Instruction,4407013.97,5599.76
70,2017-18,601,Appling County,0195,Appling County Middle School,K-12 Expenditures,Instructional Support,45526.41,57.85
71,2017-18,601,Appling County,0195,Appling County Middle School,K-12 Expenditures,Maintenance and Operations,144131.27,183.14
72,2017-18,601,Appling County,0195,Appling County Middle School,K-12 Expenditures,Media,110003.56,139.78
73,2017-18,601,Appling County,0195,Appling County Middle School,K-12 Expenditures,Pupil Services,176224.62,223.92
74,2017-18,601,Appling County,0195,Appling County Middle School,K-12 Expenditures,Renovation and Capital Projects,0.0,0.0
75,2017-18,601,Appling County,0195,Appling County Middle School,K-12 Expenditures,School Administration,296004.68,376.12
76,2017-18,601,Appling County,0195,Appling County Middle School,K-12 Expenditures,School food Services,0.0,0.0
77,2017-18,601,Appling County,0195,Appling County Middle School,K-12 Expenditures,Transportation,0.0,0.0
78,2017-18,601,Appling County,0277,Appling County Primary School,K-12 Expenditures,Debt Services,0.0,0.0
79,2017-18,601,Appling County,0277,Appling County Primary School,K-12 Expenditures,General Administration,0.0,0.0
80,2017-18,601,Appling County,0277,Appling County Primary School,K-12 Expenditures,Instruction,4262552.68,8424.02
81,2017-18,601,Appling County,0277,Appling County Primary School,K-12 Expenditures,Instructional Support,12350.13,24.41
82,2017-18,601,Appling County,0277,Appling County Primary School,K-12 Expenditures,Maintenance and Operations,138431.41,273.58
83,2017-18,601,Appling County,0277,Appling County Primary School,K-12 Expenditures,Media,81102.48,160.28
84,2017-18,601,Appling County,0277,Appling County Primary School,K-12 Expenditures,Pupil Services,170091.34,336.15
85,2017-18,601,Appling County,0277,Appling County Primary School,K-12 Expenditures,Renovation and Capital Projects,0.0,0.0
86,2017-18,601,Appling County,0277,Appling County Primary School,K-12 Expenditures,School Administration,314730.98,622.0
87,2017-18,601,Appling County,0277,Appling County Primary School,K-12 Expenditures,School food Services,0.0,0.0
88,2017-18,601,Appling County,0277,Appling County Primary School,K-12 Expenditures,Transportation,0.0,0.0
89,2017-18,601,Appling County,5050,Fourth District Elementary School,K-12 Expenditures,Debt Services,0.0,0.0
90,2017-18,601,Appling County,5050,Fourth District Elementary School,K-12 Expenditures,General Administration,0.0,0.0
91,2017-18,601,Appling County,5050,Fourth District Elementary School,K-12 Expenditures,Instruction,1070823.86,5883.65
92,2017-18,601,Appling County,5050,Fourth District Elementary School,K-12 Expenditures,Instructional Support,2996.17,16.46
93,2017-18,601,Appling County,5050,Fourth District Elementary School,K-12 Expenditures,Maintenance and Operations,53489.18,293.9
94,2017-18,601,Appling County,5050,Fourth District Elementary School,K-12 Expenditures,Media,34392.85,188.97
95,2017-18,601,Appling County,5050,Fourth District Elementary School,K-12 Expenditures,Pupil Services,48030.47,263.9
96,2017-18,601,Appling County,5050,Fourth District Elementary School,K-12 Expenditures,Renovation and Capital Projects,0.0,0.0
97,2017-18,601,Appling County,5050,Fourth District Elementary School,K-12 Expenditures,School Administration,145368.86,798.73
98,2017-18,601,Appling County,5050,Fourth District Elementary School,K-12 Expenditures,School food Services,0.0,0.0
99,2017-18,601,Appling County,5050,Fourth District Elementary School,K-12 Expenditures,Transportation,0.0,0.0
100,2017-18,602,Atkinson County,ALL,All Column Values,K-12 Expenditures,Debt Services,0.0,0.0
101,2017-18,602,Atkinson County,ALL,All Column Values,K-12 Expenditures,General Administration,706521.77,426.39
102,2017-18,602,Atkinson County,ALL,All Column Values,K-12 Expenditures,Instruction,9377049.16,5659.05
103,2017-18,602,Atkinson County,ALL,All Column Values,K-12 Expenditures,Instructional Support,527050.05,318.07
104,2017-18,602,Atkinson County,ALL,All Column Values,K-12 Expenditures,Maintenance and Operations,1176701.15,710.14
105,2017-18,602,Atkinson County,ALL,All Column Values,K-12 Expenditures,Media,365927.16,220.84
106,2017-18,602,Atkinson County,ALL,All Column Values,K-12 Expenditures,Pupil Services,383259.57,231.3
107,2017-18,602,Atkinson County,ALL,All Column Values,K-12 Expenditures,Renovation and Capital Projects,5517.0,3.33
108,2017-18,602,Atkinson County,ALL,All Column Values,K-12 Expenditures,School Administration,1225146.13,739.38
109,2017-18,602,Atkinson County,ALL,All Column Values,K-12 Expenditures,School food Services,11714.13,7.07
110,2017-18,602,Atkinson County,ALL,All Column Values,K-12 Expenditures,Transportation,835549.82,504.25
111,2017-18,602,Atkinson County,ALL,All Column Values,K-12 Revenues,Federal,0.0,0.0
112,2017-18,602,Atkinson County,ALL,All Column Values,K-12 Revenues,Local,2390199.16,1442.49
113,2017-18,602,Atkinson County,ALL,All Column Values,K-12 Revenues,Other,0.0,0.0
114,2017-18,602,Atkinson County,ALL,All Column Values,K-12 Revenues,State Lottery,0.0,0.0
115,2017-18,602,Atkinson County,ALL,All Column Values,K-12 Revenues,State Other,112922.01,68.15
116,2017-18,602,Atkinson County,ALL,All Column Values,K-12 Revenues,State QBE,12442620.0,7509.12
117,2017-18,602,Atkinson County,0103,Atkinson County High School,K-12 Expenditures,Debt Services,0.0,0.0
118,2017-18,602,Atkinson County,0103,Atkinson County High School,K-12 Expenditures,General Administration,492.0,1.01
119,2017-18,602,Atkinson County,0103,Atkinson County High School,K-12 Expenditures,Instruction,2558533.85,5242.9
120,2017-18,602,Atkinson County,0103,Atkinson County High School,K-12 Expenditures,Instructional Support,52994.17,108.59
121,2017-18,602,Atkinson County,0103,Atkinson County High School,K-12 Expenditures,Maintenance and Operations,303762.26,622.46
122,2017-18,602,Atkinson County,0103,Atkinson County High School,K-12 Expenditures,Media,74675.8,153.02
123,2017-18,602,Atkinson County,0103,Atkinson County High School,K-12 Expenditures,Pupil Services,183286.55,375.59
124,2017-18,602,Atkinson County,0103,Atkinson County High School,K-12 Expenditures,Renovation and Capital Projects,0.0,0.0
125,2017-18,602,Atkinson County,0103,Atkinson County High School,K-12 Expenditures,School Administration,342713.54,702.28
126,2017-18,602,Atkinson County,0103,Atkinson County High School,K-12 Expenditures,School food Services,0.0,0.0
127,2017-18,602,Atkinson County,0103,Atkinson County High School,K-12 Expenditures,Transportation,642.61,1.32
128,2017-18,602,Atkinson County,0111,Atkinson County Middle School,K-12 Expenditures,Debt Services,0.0,0.0
129,2017-18,602,Atkinson County,0111,Atkinson County Middle School,K-12 Expenditures,General Administration,492.0,1.36
130,2017-18,602,Atkinson County,0111,Atkinson County Middle School,K-12 Expenditures,Instruction,1835488.35,5056.44
131,2017-18,602,Atkinson County,0111,Atkinson County Middle School,K-12 Expenditures,Instructional Support,20192.77,55.63
132,2017-18,602,Atkinson County,0111,Atkinson County Middle School,K-12 Expenditures,Maintenance and Operations,135008.58,371.92
133,2017-18,602,Atkinson County,0111,Atkinson County Middle School,K-12 Expenditures,Media,48764.06,134.34
134,2017-18,602,Atkinson County,0111,Atkinson County Middle School,K-12 Expenditures,Pupil Services,61724.78,170.04
135,2017-18,602,Atkinson County,0111,Atkinson County Middle School,K-12 Expenditures,Renovation and Capital Projects,0.0,0.0
136,2017-18,602,Atkinson County,0111,Atkinson County Middle School,K-12 Expenditures,School Administration,293628.03,808.89
137,2017-18,602,Atkinson County,0111,Atkinson County Middle School,K-12 Expenditures,School food Services,0.0,0.0
138,2017-18,602,Atkinson County,0111,Atkinson County Middle School,K-12 Expenditures,Transportation,1076.5,2.97
139,2017-18,602,Atkinson County,0190,Pearson Elementary School,K-12 Expenditures,Debt Services,0.0,0.0
140,2017-18,602,Atkinson County,0190,Pearson Elementary School,K-12 Expenditures,General Administration,492.0,0.79
141,2017-18,602,Atkinson County,0190,Pearson Elementary School,K-12 Expenditures,Instruction,3695059.72,5959.77
142,2017-18,602,Atkinson County,0190,Pearson Elementary School,K-12 Expenditures,Instructional Support,24276.68,39.16
143,2017-18,602,Atkinson County,0190,Pearson Elementary School,K-12 Expenditures,Maintenance and Operations,229896.69,370.8
144,2017-18,602,Atkinson County,0190,Pearson Elementary School,K-12 Expenditures,Media,140415.38,226.48
145,2017-18,602,Atkinson County,0190,Pearson Elementary School,K-12 Expenditures,Pupil Services,83663.42,134.94
146,2017-18,602,Atkinson County,0190,Pearson Elementary School,K-12 Expenditures,Renovation and Capital Projects,0.0,0.0
147,2017-18,602,Atkinson County,0190,Pearson Elementary School,K-12 Expenditures,School Administration,379492.8,612.09
148,2017-18,602,Atkinson County,0190,Pearson Elementary School,K-12 Expenditures,School food Services,0.0,0.0
149,2017-18,602,Atkinson County,0190,Pearson Elementary School,K-12 Expenditures,Transportation,0.0,0.0
150,2017-18,602,Atkinson County,0187,Willacoochee Elementary School,K-12 Expenditures,Debt Services,0.0,0.0
151,2017-18,602,Atkinson County,0187,Willacoochee Elementary School,K-12 Expenditures,General Administration,492.0,2.93
152,2017-18,602,Atkinson County,0187,Willacoochee Elementary School,K-12 Expenditures,Instruction,1287967.24,7666.47
153,2017-18,602,Atkinson County,0187,Willacoochee Elementary School,K-12 Expenditures,Instructional Support,12431.19,74.0
154,2017-18,602,Atkinson County,0187,Willacoochee Elementary School,K-12 Expenditures,Maintenance and Operations,140637.52,837.13
155,2017-18,602,Atkinson County,0187,Willacoochee Elementary School,K-12 Expenditures,Media,102071.92,607.57
156,2017-18,602,Atkinson County,0187,Willacoochee Elementary School,K-12 Expenditures,Pupil Services,49236.34,293.07
157,2017-18,602,Atkinson County,0187,Willacoochee Elementary School,K-12 Expenditures,Renovation and Capital Projects,0.0,0.0
158,2017-18,602,Atkinson County,0187,Willacoochee Elementary School,K-12 Expenditures,School Administration,202139.28,1203.21
159,2017-18,602,Atkinson County,0187,Willacoochee Elementary School,K-12 Expenditures,School food Services,0.0,0.0
160,2017-18,602,Atkinson County,0187,Willacoochee Elementary School,K-12 Expenditures,Transportation,0.0,0.0
161,2017-18,761,Atlanta Public Schools,0403,APS-Forrest Hills Academy,K-12 Expenditures,Debt Services,0.0,0.0
162,2017-18,761,Atlanta Public Schools,0403,APS-Forrest Hills Academy,K-12 Expenditures,General Administration,0.0,0.0
163,2017-18,761,Atlanta Public Schools,0403,APS-Forrest Hills Academy,K-12 Expenditures,Instruction,2553712.88,15291.69
164,2017-18,761,Atlanta Public Schools,0403,APS-Forrest Hills Academy,K-12 Expenditures,Instructional Support,75605.56,452.73
165,2017-18,761,Atlanta Public Schools,0403,APS-Forrest Hills Academy,K-12 Expenditures,Maintenance and Operations,449351.6,2690.73
166,2017-18,761,Atlanta Public Schools,0403,APS-Forrest Hills Academy,K-12 Expenditures,Media,96667.62,578.85
167,2017-18,761,Atlanta Public Schools,0403,APS-Forrest Hills Academy,K-12 Expenditures,Pupil Services,1127091.67,6749.05
168,2017-18,761,Atlanta Public Schools,0403,APS-Forrest Hills Academy,K-12 Expenditures,Renovation and Capital Projects,0.0,0.0
169,2017-18,761,Atlanta Public Schools,0403,APS-Forrest Hills Academy,K-12 Expenditures,School Administration,834940.36,4999.64
170,2017-18,761,Atlanta Public Schools,0403,APS-Forrest Hills Academy,K-12 Expenditures,School food Services,0.0,0.0
171,2017-18,761,Atlanta Public Schools,0403,APS-Forrest Hills Academy,K-12 Expenditures,Transportation,3840.0,22.99
172,2017-18,761,Atlanta Public Schools,ALL,All Column Values,K-12 Expenditures,Debt Services,2059445.56,40.04
173,2017-18,761,Atlanta Public Schools,ALL,All Column Values,K-12 Expenditures,General Administration,16633973.49,323.39
174,2017-18,761,Atlanta Public Schools,ALL,All Column Values,K-12 Expenditures,Instruction,480967109.76,9350.61
175,2017-18,761,Atlanta Public Schools,ALL,All Column Values,K-12 Expenditures,Instructional Support,58965082.78,1146.36
176,2017-18,761,Atlanta Public Schools,ALL,All Column Values,K-12 Expenditures,Maintenance and Operations,79363007.19,1542.92
177,2017-18,761,Atlanta Public Schools,ALL,All Column Values,K-12 Expenditures,Media,7198592.29,139.95
178,2017-18,761,Atlanta Public Schools,ALL,All Column Values,K-12 Expenditures,Pupil Services,43119741.43,838.3
179,2017-18,761,Atlanta Public Schools,ALL,All Column Values,K-12 Expenditures,Renovation and Capital Projects,58082.95,1.13
180,2017-18,761,Atlanta Public Schools,ALL,All Column Values,K-12 Expenditures,School Administration,38194043.67,742.54
181,2017-18,761,Atlanta Public Schools,ALL,All Column Values,K-12 Expenditures,School food Services,365419.08,7.1
182,2017-18,761,Atlanta Public Schools,ALL,All Column Values,K-12 Expenditures,Transportation,29926313.72,581.81
183,2017-18,761,Atlanta Public Schools,ALL,All Column Values,K-12 Revenues,Federal,1161068.54,22.57
184,2017-18,761,Atlanta Public Schools,ALL,All Column Values,K-12 Revenues,Local,537992088.67,10459.24
185,2017-18,761,Atlanta Public Schools,ALL,All Column Values,K-12 Revenues,Other,5637602.04,109.6
186,2017-18,761,Atlanta Public Schools,ALL,All Column Values,K-12 Revenues,State Lottery,0.0,0.0
187,2017-18,761,Atlanta Public Schools,ALL,All Column Values,K-12 Revenues,State Other,3534207.69,68.71
188,2017-18,761,Atlanta Public Schools,ALL,All Column Values,K-12 Revenues,State QBE,198427724.0,3857.68
189,2017-18,761,Atlanta Public Schools,0415,Atlanta Classical Academy,K-12 Expenditures,Debt Services,0.0,0.0
190,2017-18,761,Atlanta Public Schools,0415,Atlanta Classical Academy,K-12 Expenditures,General Administration,0.0,0.0
191,2017-18,761,Atlanta Public Schools,0415,Atlanta Classical Academy,K-12 Expenditures,Instruction,6392419.86,10244.26
192,2017-18,761,Atlanta Public Schools,0415,Atlanta Classical Academy,K-12 Expenditures,Instructional Support,0.0,0.0
193,2017-18,761,Atlanta Public Schools,0415,Atlanta Classical Academy,K-12 Expenditures,Maintenance and Operations,0.0,0.0
194,2017-18,761,Atlanta Public Schools,0415,Atlanta Classical Academy,K-12 Expenditures,Media,0.0,0.0
195,2017-18,761,Atlanta Public Schools,0415,Atlanta Classical Academy,K-12 Expenditures,Pupil Services,0.0,0.0
196,2017-18,761,Atlanta Public Schools,0415,Atlanta Classical Academy,K-12 Expenditures,Renovation and Capital Projects,0.0,0.0
197,2017-18,761,Atlanta Public Schools,0415,Atlanta Classical Academy,K-12 Expenditures,School Administration,0.0,0.0
198,2017-18,761,Atlanta Public Schools,0415,Atlanta Classical Academy,K-12 Expenditures,School food Services,0.0,0.0
199,2017-18,761,Atlanta Public Schools,0415,Atlanta Classical Academy,K-12 Expenditures,Transportation,0.0,0.0
200,2017-18,761,Atlanta Public Schools,0505,Atlanta Neighborhood Charter - Elementary,K-12 Expenditures,Debt Services,0.0,0.0
201,2017-18,761,Atlanta Public Schools,0505,Atlanta Neighborhood Charter - Elementary,K-12 Expenditures,General Administration,0.0,0.0
202,2017-18,761,Atlanta Public Schools,0505,Atlanta Neighborhood Charter - Elementary,K-12 Expenditures,Instruction,5436865.65,13391.29
203,2017-18,761,Atlanta Public Schools,0505,Atlanta Neighborhood Charter - Elementary,K-12 Expenditures,Instructional Support,0.0,0.0
204,2017-18,761,Atlanta Public Schools,0505,Atlanta Neighborhood Charter - Elementary,K-12 Expenditures,Maintenance and Operations,0.0,0.0
205,2017-18,761,Atlanta Public Schools,0505,Atlanta Neighborhood Charter - Elementary,K-12 Expenditures,Media,0.0,0.0
206,2017-18,761,Atlanta Public Schools,0505,Atlanta Neighborhood Charter - Elementary,K-12 Expenditures,Pupil Services,0.0,0.0
207,2017-18,761,Atlanta Public Schools,0505,Atlanta Neighborhood Charter - Elementary,K-12 Expenditures,Renovation and Capital Projects,0.0,0.0
208,2017-18,761,Atlanta Public Schools,0505,Atlanta Neighborhood Charter - Elementary,K-12 Expenditures,School Administration,0.0,0.0
209,2017-18,761,Atlanta Public Schools,0505,Atlanta Neighborhood Charter - Elementary,K-12 Expenditures,School food Services,0.0,0.0
210,2017-18,761,Atlanta Public Schools,0505,Atlanta Neighborhood Charter - Elementary,K-12 Expenditures,Transportation,0.0,0.0
211,2017-18,761,Atlanta Public Schools,0206,Atlanta Neighborhood Charter - Middle,K-12 Expenditures,Debt Services,0.0,0.0
212,2017-18,761,Atlanta Public Schools,0206,Atlanta Neighborhood Charter - Middle,K-12 Expenditures,General Administration,0.0,0.0
213,2017-18,761,Atlanta Public Schools,0206,Atlanta Neighborhood Charter - Middle,K-12 Expenditures,Instruction,3391185.23,14430.58
214,2017-18,761,Atlanta Public Schools,0206,Atlanta Neighborhood Charter - Middle,K-12 Expenditures,Instructional Support,0.0,0.0
215,2017-18,761,Atlanta Public Schools,0206,Atlanta Neighborhood Charter - Middle,K-12 Expenditures,Maintenance and Operations,0.0,0.0
216,2017-18,761,Atlanta Public Schools,0206,Atlanta Neighborhood Charter - Middle,K-12 Expenditures,Media,0.0,0.0
217,2017-18,761,Atlanta Public Schools,0206,Atlanta Neighborhood Charter - Middle,K-12 Expenditures,Pupil Services,0.0,0.0
218,2017-18,761,Atlanta Public Schools,0206,Atlanta Neighborhood Charter - Middle,K-12 Expenditures,Renovation and Capital Projects,0.0,0.0
219,2017-18,761,Atlanta Public Schools,0206,Atlanta Neighborhood Charter - Middle,K-12 Expenditures,School Administration,0.0,0.0
220,2017-18,761,Atlanta Public Schools,0206,Atlanta Neighborhood Charter - Middle,K-12 Expenditures,School food Services,0.0,0.0
221,2017-18,761,Atlanta Public Schools,0206,Atlanta Neighborhood Charter - Middle,K-12 Expenditures,Transportation,0.0,0.0
222,2017-18,761,Atlanta Public Schools,1411,B.E.S.T Academy,K-12 Expenditures,Debt Services,0.0,0.0
223,2017-18,761,Atlanta Public Schools,1411,B.E.S.T Academy,K-12 Expenditures,General Administration,0.0,0.0
224,2017-18,761,Atlanta Public Schools,1411,B.E.S.T Academy,K-12 Expenditures,Instruction,3590686.87,9090.35
225,2017-18,761,Atlanta Public Schools,1411,B.E.S.T Academy,K-12 Expenditures,Instructional Support,136860.6,346.48
226,2017-18,761,Atlanta Public Schools,1411,B.E.S.T Academy,K-12 Expenditures,Maintenance and Operations,458656.41,1161.16
227,2017-18,761,Atlanta Public Schools,1411,B.E.S.T Academy,K-12 Expenditures,Media,119982.72,303.75
228,2017-18,761,Atlanta Public Schools,1411,B.E.S.T Academy,K-12 Expenditures,Pupil Services,457494.14,1158.21
229,2017-18,761,Atlanta Public Schools,1411,B.E.S.T Academy,K-12 Expenditures,Renovation and Capital Projects,0.0,0.0
230,2017-18,761,Atlanta Public Schools,1411,B.E.S.T Academy,K-12 Expenditures,School Administration,658776.28,1667.79
231,2017-18,761,Atlanta Public Schools,1411,B.E.S.T Academy,K-12 Expenditures,School food Services,0.0,0.0
232,2017-18,761,Atlanta Public Schools,1411,B.E.S.T Academy,K-12 Expenditures,Transportation,16486.0,41.74
233,2017-18,761,Atlanta Public Schools,5066,Barack and Michelle Obama Academy,K-12 Expenditures,Debt Services,0.0,0.0
234,2017-18,761,Atlanta Public Schools,5066,Barack and Michelle Obama Academy,K-12 Expenditures,General Administration,0.0,0.0
235,2017-18,761,Atlanta Public Schools,5066,Barack and Michelle Obama Academy,K-12 Expenditures,Instruction,2344345.33,9687.38
236,2017-18,761,Atlanta Public Schools,5066,Barack and Michelle Obama Academy,K-12 Expenditures,Instructional Support,604680.4,2498.68
237,2017-18,761,Atlanta Public Schools,5066,Barack and Michelle Obama Academy,K-12 Expenditures,Maintenance and Operations,204505.19,845.06
238,2017-18,761,Atlanta Public Schools,5066,Barack and Michelle Obama Academy,K-12 Expenditures,Media,105408.41,435.57
239,2017-18,761,Atlanta Public Schools,5066,Barack and Michelle Obama Academy,K-12 Expenditures,Pupil Services,400961.71,1656.87
240,2017-18,761,Atlanta Public Schools,5066,Barack and Michelle Obama Academy,K-12 Expenditures,Renovation and Capital Projects,0.0,0.0
241,2017-18,761,Atlanta Public Schools,5066,Barack and Michelle Obama Academy,K-12 Expenditures,School Administration,388131.11,1603.85
242,2017-18,761,Atlanta Public Schools,5066,Barack and Michelle Obama Academy,K-12 Expenditures,School food Services,0.0,0.0
243,2017-18,761,Atlanta Public Schools,5066,Barack and Michelle Obama Academy,K-12 Expenditures,Transportation,10183.18,42.08
244,2017-18,761,Atlanta Public Schools,0604,Bazoline E. Usher/Collier Heights Elmentary School,K-12 Expenditures,Debt Services,0.0,0.0
245,2017-18,761,Atlanta Public Schools,0604,Bazoline E. Usher/Collier Heights Elmentary School,K-12 Expenditures,General Administration,0.0,0.0
246,2017-18,761,Atlanta Public Schools,0604,Bazoline E. Usher/Collier Heights Elmentary School,K-12 Expenditures,Instruction,3309712.07,7899.07
247,2017-18,761,Atlanta Public Schools,0604,Bazoline E. Usher/Collier Heights Elmentary School,K-12 Expenditures,Instructional Support,859101.29,2050.36
248,2017-18,761,Atlanta Public Schools,0604,Bazoline E. Usher/Collier Heights Elmentary School,K-12 Expenditures,Maintenance and Operations,276005.02,658.72
249,2017-18,761,Atlanta Public Schools,0604,Bazoline E. Usher/Collier Heights Elmentary School,K-12 Expenditures,Media,100876.54,240.76
250,2017-18,761,Atlanta Public Schools,0604,Bazoline E. Usher/Collier Heights Elmentary School,K-12 Expenditures,Pupil Services,345896.8,825.53
251,2017-18,761,Atlanta Public Schools,0604,Bazoline E. Usher/Collier Heights Elmentary School,K-12 Expenditures,Renovation and Capital Projects,0.0,0.0
252,2017-18,761,Atlanta Public Schools,0604,Bazoline E. Usher/Collier Heights Elmentary School,K-12 Expenditures,School Administration,437373.55,1043.85
253,2017-18,761,Atlanta Public Schools,0604,Bazoline E. Usher/Collier Heights Elmentary School,K-12 Expenditures,School food Services,0.0,0.0
254,2017-18,761,Atlanta Public Schools,0604,Bazoline E. Usher/Collier Heights Elmentary School,K-12 Expenditures,Transportation,10866.0,25.93
255,2017-18,761,Atlanta Public Schools,3051,Beecher Hills Elementary School,K-12 Expenditures,Debt Services,0.0,0.0
256,2017-18,761,Atlanta Public Schools,3051,Beecher Hills Elementary School,K-12 Expenditures,General Administration,0.0,0.0
257,2017-18,761,Atlanta Public Schools,3051,Beecher Hills Elementary School,K-12 Expenditures,Instruction,3128853.67,9716.94
258,2017-18,761,Atlanta Public Schools,3051,Beecher Hills Elementary School,K-12 Expenditures,Instructional Support,125215.35,388.87
259,2017-18,761,Atlanta Public Schools,3051,Beecher Hills Elementary School,K-12 Expenditures,Maintenance and Operations,173682.78,539.39
260,2017-18,761,Atlanta Public Schools,3051,Beecher Hills Elementary School,K-12 Expenditures,Media,106008.64,329.22
