,SCHOOL_DSTRCT_CD,LABEL_LVL_1_DESC,PROGRAM_TOTAL,PROGRAM_PERCENT,TOTAL_COUNT
173,610,Grad Rate -Male,82.0,82.885,99.0
177,610,Grad Rate -Students With Disability,13.0,72.22,18.0
178,610,Grad Rate -Students Without Disability,116.66666666666667,79.86666666666667,132.66666666666666
179,610,Grad Rate -White,98.66666666666667,77.17333333333333,116.66666666666667
180,611,Grad Rate -ALL Students,341.625,81.94375000000001,429.5
183,611,Grad Rate -Asian/Pacific Islander,23.5,95.60499999999999,24.5
184,611,Grad Rate -Black,288.0,80.33142857142857,362.14285714285717
185,611,Grad Rate -Economically Disadvantaged,341.625,81.955,429.25
186,611,Grad Rate -Female,181.125,87.5175,210.875
188,611,Grad Rate -Hispanic,39.0,75.265,52.0
189,611,Grad Rate -Homeless,22.25,70.425,34.25
190,611,Grad Rate -Limited English Proficient,15.5,93.75,17.0
191,611,Grad Rate -Male,160.5,76.56,218.625
193,611,Grad Rate -Multi-Racial,21.0,63.64,33.0
195,611,Grad Rate -Students With Disability,33.833333333333336,60.26833333333334,57.333333333333336
196,611,Grad Rate -Students Without Disability,315.0,83.925,384.375
197,611,Grad Rate -White,81.66666666666667,79.12666666666667,101.16666666666667
198,612,Grad Rate -ALL Students,114.0,88.17666666666666,122.66666666666667
202,612,Grad Rate -Black,34.0,92.09,37.0
203,612,Grad Rate -Economically Disadvantaged,57.333333333333336,85.90666666666668,64.66666666666667
204,612,Grad Rate -Female,64.0,93.05,66.0
209,612,Grad Rate -Male,70.5,89.955,78.5
212,612,Grad Rate -Not Economically Disadvantaged,85.0,97.7,87.0
213,612,Grad Rate -Students With Disability,16.0,74.34,21.5
214,612,Grad Rate -Students Without Disability,102.0,89.73333333333333,106.66666666666667
215,612,Grad Rate -White,82.66666666666667,87.44,88.66666666666667
216,613,Grad Rate -ALL Students,206.0,85.48,241.0
221,613,Grad Rate -Economically Disadvantaged,206.0,85.48,241.0
222,613,Grad Rate -Female,94.0,88.68,106.0
227,613,Grad Rate -Male,112.0,82.96,135.0
231,613,Grad Rate -Students With Disability,19.0,73.08,26.0
232,613,Grad Rate -Students Without Disability,187.0,87.0,215.0
233,613,Grad Rate -White,193.0,85.4,226.0
234,614,Grad Rate -ALL Students,87.33333333333333,86.83999999999999,94.33333333333333
238,614,Grad Rate -Black,65.0,95.78,68.0
239,614,Grad Rate -Economically Disadvantaged,87.33333333333333,86.83999999999999,94.33333333333333
240,614,Grad Rate -Female,38.666666666666664,93.33333333333333,40.0
242,614,Grad Rate -Hispanic,16.0,100.0,16.0
245,614,Grad Rate -Male,69.5,92.33500000000001,75.5
249,614,Grad Rate -Students With Disability,12.5,81.09,15.5
250,614,Grad Rate -Students Without Disability,78.66666666666667,89.86666666666667,83.0
251,614,Grad Rate -White,37.0,91.71000000000001,40.5
252,615,Grad Rate -ALL Students,426.0,87.87333333333333,478.0
253,615,Grad Rate -Active Duty,120.5,95.255,126.5
255,615,Grad Rate -Asian/Pacific Islander,26.5,92.97999999999999,28.5
256,615,Grad Rate -Black,79.33333333333333,86.53666666666668,90.0
257,615,Grad Rate -Economically Disadvantaged,110.0,78.41000000000001,140.0
258,615,Grad Rate -Female,206.66666666666666,92.93,223.33333333333334
260,615,Grad Rate -Hispanic,41.0,92.16,44.5
262,615,Grad Rate -Limited English Proficient,10.0,76.92,13.0
263,615,Grad Rate -Male,219.33333333333334,83.91333333333333,254.66666666666666
265,615,Grad Rate -Multi-Racial,27.0,85.71,31.5
266,615,Grad Rate -Not Economically Disadvantaged,316.0,94.06666666666666,338.0
267,615,Grad Rate -Students With Disability,36.0,74.10000000000001,48.666666666666664
268,615,Grad Rate -Students Without Disability,390.0,89.56666666666666,429.3333333333333
269,615,Grad Rate -White,278.6666666666667,88.39,312.6666666666667
270,616,Grad Rate -ALL Students,310.0,82.065,388.0
274,616,Grad Rate -Black,91.0,82.03,128.0
275,616,Grad Rate -Economically Disadvantaged,140.0,74.92500000000001,199.5
276,616,Grad Rate -Female,160.5,87.55749999999999,187.5
278,616,Grad Rate -Hispanic,26.0,70.71666666666668,36.333333333333336
279,616,Grad Rate -Homeless,11.0,50.0,22.0
281,616,Grad Rate -Male,149.5,76.9325,200.5
283,616,Grad Rate -Multi-Racial,17.666666666666668,84.23666666666666,21.0
284,616,Grad Rate -Not Economically Disadvantaged,170.0,89.35,188.5
285,616,Grad Rate -Students With Disability,33.0,67.53,55.0
286,616,Grad Rate -Students Without Disability,277.0,84.325,333.0
287,616,Grad Rate -White,180.5,84.94749999999999,210.0
288,617,Grad Rate -ALL Students,260.0,91.55,284.0
292,617,Grad Rate -Black,173.0,92.02,188.0
293,617,Grad Rate -Economically Disadvantaged,260.0,91.55,284.0
294,617,Grad Rate -Female,150.0,96.15,156.0
296,617,Grad Rate -Hispanic,10.0,100.0,10.0
299,617,Grad Rate -Male,110.0,85.94,128.0
303,617,Grad Rate -Students With Disability,20.0,76.92,26.0
304,617,Grad Rate -Students Without Disability,240.0,93.0,258.0
305,617,Grad Rate -White,72.0,91.14,79.0
306,618,Grad Rate -ALL Students,213.0,83.53,255.0
310,618,Grad Rate -Black,79.0,88.76,89.0
311,618,Grad Rate -Economically Disadvantaged,213.0,83.53,255.0
312,618,Grad Rate -Female,99.0,83.9,118.0
315,618,Grad Rate -Homeless,14.0,73.68,19.0
317,618,Grad Rate -Male,114.0,83.21,137.0
321,618,Grad Rate -Students With Disability,26.0,70.27,37.0
322,618,Grad Rate -Students Without Disability,187.0,85.8,218.0
323,618,Grad Rate -White,121.0,80.67,150.0
324,619,Grad Rate -ALL Students,46.0,88.46,52.0
328,619,Grad Rate -Black,46.0,90.2,51.0
329,619,Grad Rate -Economically Disadvantaged,46.0,88.46,52.0
330,619,Grad Rate -Female,22.0,95.65,23.0
335,619,Grad Rate -Male,24.0,82.76,29.0
340,619,Grad Rate -Students Without Disability,41.0,91.1,45.0
342,620,Grad Rate -ALL Students,552.0,95.5,578.0
343,620,Grad Rate -Active Duty,111.0,98.23,113.0
346,620,Grad Rate -Black,131.0,94.24,139.0
347,620,Grad Rate -Economically Disadvantaged,190.0,92.23,206.0
348,620,Grad Rate -Female,288.0,96.97,297.0
350,620,Grad Rate -Hispanic,44.0,95.65,46.0
353,620,Grad Rate -Male,264.0,93.95,281.0
355,620,Grad Rate -Multi-Racial,34.0,87.18,39.0
356,620,Grad Rate -Not Economically Disadvantaged,362.0,97.3,372.0
357,620,Grad Rate -Students With Disability,52.0,86.67,60.0
358,620,Grad Rate -Students Without Disability,500.0,96.5,518.0
359,620,Grad Rate -White,333.0,96.8,344.0
360,621,Grad Rate -ALL Students,117.0,93.6,125.0
364,621,Grad Rate -Black,29.0,96.67,30.0
365,621,Grad Rate -Economically Disadvantaged,117.0,93.6,125.0
366,621,Grad Rate -Female,58.0,95.08,61.0
368,621,Grad Rate -Hispanic,22.0,91.67,24.0
371,621,Grad Rate -Male,59.0,92.19,64.0
375,621,Grad Rate -Students With Disability,10.0,90.91,11.0
376,621,Grad Rate -Students Without Disability,107.0,93.9,114.0
377,621,Grad Rate -White,61.0,92.42,66.0
378,622,Grad Rate -ALL Students,322.3333333333333,93.49833333333333,345.6666666666667
382,622,Grad Rate -Black,64.33333333333333,95.93833333333333,67.0
383,622,Grad Rate -Economically Disadvantaged,156.0,93.11500000000001,168.33333333333334
384,622,Grad Rate -Female,163.66666666666666,96.82666666666667,168.66666666666666
386,622,Grad Rate -Hispanic,34.333333333333336,88.2,38.333333333333336
387,622,Grad Rate -Homeless,32.0,93.4875,34.25
389,622,Grad Rate -Male,158.66666666666666,90.46166666666666,177.0
391,622,Grad Rate -Multi-Racial,29.666666666666668,92.38,31.666666666666668
392,622,Grad Rate -Not Economically Disadvantaged,166.33333333333334,93.76666666666665,177.33333333333334
393,622,Grad Rate -Students With Disability,40.333333333333336,89.12166666666667,45.0
394,622,Grad Rate -Students Without Disability,282.0,94.21666666666665,300.6666666666667
395,622,Grad Rate -White,219.0,93.01,236.33333333333334
396,623,Grad Rate -ALL Students,354.5,87.5225,405.0
399,623,Grad Rate -Asian/Pacific Islander,14.0,87.5,16.0
400,623,Grad Rate -Black,11.5,86.08,13.5
401,623,Grad Rate -Economically Disadvantaged,126.5,84.34,149.5
402,623,Grad Rate -Female,171.5,88.97500000000001,192.5
404,623,Grad Rate -Hispanic,20.0,88.35666666666667,22.666666666666668
405,623,Grad Rate -Homeless,21.5,72.7275,29.25
407,623,Grad Rate -Male,183.0,86.33,212.5
409,623,Grad Rate -Multi-Racial,16.5,91.67,18.0
410,623,Grad Rate -Not Economically Disadvantaged,228.0,88.35,255.5
411,623,Grad Rate -Students With Disability,54.0,83.425,65.75
412,623,Grad Rate -Students Without Disability,300.5,88.5,339.25
413,623,Grad Rate -White,312.0,87.2425,357.0
414,624,Grad Rate -ALL Students,109.0,90.83,120.0
418,624,Grad Rate -Black,37.0,94.87,39.0
419,624,Grad Rate -Economically Disadvantaged,52.0,85.25,61.0
420,624,Grad Rate -Female,59.0,95.16,62.0
425,624,Grad Rate -Male,50.0,86.21,58.0
428,624,Grad Rate -Not Economically Disadvantaged,57.0,96.6,59.0
430,624,Grad Rate -Students Without Disability,107.0,92.2,116.0
431,624,Grad Rate -White,62.0,87.32,71.0
432,625,Grad Rate -ALL Students,343.3333333333333,88.55916666666667,390.8333333333333
433,625,Grad Rate -Active Duty,33.0,94.91999999999999,35.25
435,625,Grad Rate -Asian/Pacific Islander,28.0,93.18,29.666666666666668
436,625,Grad Rate -Black,206.66666666666666,89.31333333333333,238.5
437,625,Grad Rate -Economically Disadvantaged,174.16666666666666,87.04416666666668,207.25
438,625,Grad Rate -Female,188.66666666666666,91.97583333333334,204.83333333333334
440,625,Grad Rate -Hispanic,38.625,87.05875,44.375
441,625,Grad Rate -Homeless,25.0,83.19333333333333,32.0
442,625,Grad Rate -Limited English Proficient,20.0,70.83500000000001,29.0
443,625,Grad Rate -Male,154.66666666666666,85.27749999999999,186.0
445,625,Grad Rate -Multi-Racial,24.4,88.808,28.2
446,625,Grad Rate -Not Economically Disadvantaged,169.16666666666666,90.58333333333333,183.58333333333334
447,625,Grad Rate -Students With Disability,26.444444444444443,62.016666666666666,42.888888888888886
448,625,Grad Rate -Students Without Disability,323.1666666666667,90.56666666666666,358.3333333333333
449,625,Grad Rate -White,146.0,91.62571428571428,159.14285714285714
450,626,Grad Rate -ALL Students,92.0,76.67,120.0
451,626,Grad Rate -Active Duty,53.0,79.1,67.0
454,626,Grad Rate -Black,21.0,75.0,28.0
455,626,Grad Rate -Economically Disadvantaged,39.0,69.64,56.0
456,626,Grad Rate -Female,40.0,76.92,52.0
458,626,Grad Rate -Hispanic,17.0,80.95,21.0
461,626,Grad Rate -Male,52.0,76.47,68.0
464,626,Grad Rate -Not Economically Disadvantaged,53.0,82.8,64.0
465,626,Grad Rate -Students With Disability,12.0,80.0,15.0
466,626,Grad Rate -Students Without Disability,80.0,76.2,105.0
467,626,Grad Rate -White,45.0,76.27,59.0
468,627,Grad Rate -ALL Students,128.0,83.54333333333334,146.66666666666666
472,627,Grad Rate -Black,12.5,96.875,13.0
473,627,Grad Rate -Economically Disadvantaged,85.33333333333333,84.53333333333335,96.0
474,627,Grad Rate -Female,68.0,85.96333333333332,76.0
476,627,Grad Rate -Hispanic,10.0,83.33,12.0
477,627,Grad Rate -Homeless,37.5,94.445,40.0
479,627,Grad Rate -Male,60.0,80.92,70.66666666666667
481,627,Grad Rate -Multi-Racial,11.0,91.67,12.0
482,627,Grad Rate -Not Economically Disadvantaged,42.666666666666664,81.60000000000001,50.666666666666664
483,627,Grad Rate -Students With Disability,20.5,81.21000000000001,25.5
484,627,Grad Rate -Students Without Disability,112.33333333333333,85.06666666666666,126.33333333333333
485,627,Grad Rate -White,104.0,82.97,120.0
486,628,Grad Rate -ALL Students,820.4285714285714,87.72857142857143,942.0
487,628,Grad Rate -Active Duty,12.0,89.205,13.5
489,628,Grad Rate -Asian/Pacific Islander,27.5,96.5,28.75
490,628,Grad Rate -Black,64.28571428571429,85.78428571428572,75.71428571428571
491,628,Grad Rate -Economically Disadvantaged,152.28571428571428,87.50857142857144,177.28571428571428
492,628,Grad Rate -Female,409.7142857142857,91.16285714285713,451.42857142857144
494,628,Grad Rate -Hispanic,131.42857142857142,80.91428571428571,168.14285714285714
495,628,Grad Rate -Homeless,19.0,61.29,31.0
496,628,Grad Rate -Limited English Proficient,44.0,65.008,71.0
497,628,Grad Rate -Male,410.7142857142857,84.54714285714286,490.57142857142856
499,628,Grad Rate -Multi-Racial,29.833333333333332,88.69333333333333,34.0
500,628,Grad Rate -Not Economically Disadvantaged,668.1428571428571,87.72857142857143,764.7142857142857
501,628,Grad Rate -Students With Disability,67.42857142857143,71.56571428571428,95.71428571428571
502,628,Grad Rate -Students Without Disability,753.0,89.54285714285713,846.2857142857143
503,628,Grad Rate -White,577.1428571428571,89.45857142857143,646.0
504,629,Grad Rate -ALL Students,314.75,75.20750000000001,385.75
507,629,Grad Rate -Asian/Pacific Islander,12.5,100.0,12.5
508,629,Grad Rate -Black,161.25,73.29,197.5
509,629,Grad Rate -Economically Disadvantaged,314.75,75.20750000000001,385.75
510,629,Grad Rate -Female,172.0,82.1275,194.25
512,629,Grad Rate -Hispanic,93.66666666666667,73.93,127.33333333333333
513,629,Grad Rate -Homeless,19.0,60.0,32.0
514,629,Grad Rate -Limited English Proficient,21.666666666666668,54.93000000000001,39.333333333333336
515,629,Grad Rate -Male,142.75,68.1425,191.5
517,629,Grad Rate -Multi-Racial,18.333333333333332,86.92,21.333333333333332
519,629,Grad Rate -Students With Disability,43.666666666666664,64.58,68.0
520,629,Grad Rate -Students Without Disability,281.5,78.175,333.25
521,629,Grad Rate -White,78.33333333333333,90.91333333333334,85.66666666666667
540,631,Grad Rate -ALL Students,436.3076923076923,79.2146153846154,598.0769230769231
543,631,Grad Rate -Asian/Pacific Islander,52.2,89.614,58.4
544,631,Grad Rate -Black,320.61538461538464,79.56846153846155,430.9230769230769
545,631,Grad Rate -Economically Disadvantaged,436.3076923076923,79.2146153846154,598.0769230769231
546,631,Grad Rate -Female,237.84615384615384,84.67923076923077,297.0
548,631,Grad Rate -Hispanic,83.75,76.59583333333333,124.41666666666667
549,631,Grad Rate -Homeless,29.4,65.35,50.0
550,631,Grad Rate -Limited English Proficient,31.11111111111111,69.11333333333333,54.22222222222222
551,631,Grad Rate -Male,198.46153846153845,73.76153846153845,301.0769230769231
553,631,Grad Rate -Multi-Racial,50.0,64.94,77.0
555,631,Grad Rate -Students With Disability,41.36363636363637,52.10727272727272,82.45454545454545
556,631,Grad Rate -Students Without Disability,400.7692307692308,82.03076923076922,527.7692307692307
557,631,Grad Rate -White,39.0,47.56,82.0
558,632,Grad Rate -ALL Students,87.0,88.78,98.0
562,632,Grad Rate -Black,27.0,87.1,31.0
563,632,Grad Rate -Economically Disadvantaged,47.0,88.68,53.0
564,632,Grad Rate -Female,34.0,82.93,41.0
569,632,Grad Rate -Male,53.0,92.98,57.0
572,632,Grad Rate -Not Economically Disadvantaged,40.0,88.9,45.0
574,632,Grad Rate -Students Without Disability,79.0,89.8,88.0
575,632,Grad Rate -White,57.0,89.06,64.0
576,633,Grad Rate -ALL Students,875.4444444444445,85.18666666666668,1006.4444444444445
577,633,Grad Rate -Active Duty,30.0,93.75,32.0
578,633,Grad Rate -American Indian/Alaskan,15.0,88.24,17.0
579,633,Grad Rate -Asian/Pacific Islander,72.53846153846153,94.63538461538461,75.53846153846153
580,633,Grad Rate -Black,274.44444444444446,85.38444444444445,322.6666666666667
581,633,Grad Rate -Economically Disadvantaged,288.77777777777777,80.12166666666664,369.8333333333333
582,633,Grad Rate -Female,447.0,88.67722222222221,494.3333333333333
584,633,Grad Rate -Hispanic,155.0,79.60166666666666,205.88888888888889
585,633,Grad Rate -Homeless,29.285714285714285,72.20857142857143,42.142857142857146
586,633,Grad Rate -Limited English Proficient,61.69230769230769,65.37153846153845,101.61538461538461
587,633,Grad Rate -Male,428.44444444444446,81.95833333333333,512.1111111111111
589,633,Grad Rate -Multi-Racial,34.6,92.95733333333332,37.8
590,633,Grad Rate -Not Economically Disadvantaged,586.6666666666666,87.83333333333333,636.6111111111111
591,633,Grad Rate -Students With Disability,78.5,70.70111111111112,110.77777777777777
592,633,Grad Rate -Students Without Disability,796.9444444444445,87.02777777777777,895.6666666666666
593,633,Grad Rate -White,381.94117647058823,88.8164705882353,409.52941176470586
594,634,Grad Rate -ALL Students,294.0,84.75666666666666,342.6666666666667
598,634,Grad Rate -Black,108.66666666666667,91.21666666666668,124.66666666666667
599,634,Grad Rate -Economically Disadvantaged,294.0,85.47666666666667,338.6666666666667
600,634,Grad Rate -Female,142.66666666666666,90.13,160.33333333333334
602,634,Grad Rate -Hispanic,76.5,86.6,88.5
603,634,Grad Rate -Homeless,13.0,72.5,18.0
604,634,Grad Rate -Limited English Proficient,12.0,69.16499999999999,17.5
605,634,Grad Rate -Male,151.33333333333334,78.64,182.33333333333334
606,634,Grad Rate -Migrant,11.0,75.94999999999999,14.5
609,634,Grad Rate -Students With Disability,32.5,78.525,41.5
610,634,Grad Rate -Students Without Disability,272.0,85.10000000000001,314.6666666666667
611,634,Grad Rate -White,126.0,84.02666666666669,148.0
612,635,Grad Rate -ALL Students,384.6666666666667,71.33,449.6666666666667
616,635,Grad Rate -Black,98.66666666666667,82.31666666666666,113.33333333333333
617,635,Grad Rate -Economically Disadvantaged,384.6666666666667,71.33,449.6666666666667
618,635,Grad Rate -Female,288.5,91.17,316.5
620,635,Grad Rate -Hispanic,153.0,87.28,175.5
621,635,Grad Rate -Homeless,17.5,87.6,20.0
622,635,Grad Rate -Limited English Proficient,46.0,78.055,59.0
623,635,Grad Rate -Male,280.5,83.08500000000001,338.0
624,635,Grad Rate -Migrant,25.0,78.20500000000001,32.0
625,635,Grad Rate -Multi-Racial,10.5,80.94999999999999,13.0
627,635,Grad Rate -Students With Disability,49.5,62.215,79.5
628,635,Grad Rate -Students Without Disability,350.6666666666667,72.3,395.3333333333333
629,635,Grad Rate -White,257.5,86.445,298.0
630,636,Grad Rate -ALL Students,634.6666666666666,91.91000000000001,689.6666666666666
631,636,Grad Rate -Active Duty,94.6,94.176,100.8
633,636,Grad Rate -Asian/Pacific Islander,32.4,98.58,32.8
634,636,Grad Rate -Black,136.33333333333334,90.14,152.0
635,636,Grad Rate -Economically Disadvantaged,178.66666666666666,86.76166666666667,209.33333333333334
636,636,Grad Rate -Female,313.6666666666667,94.59833333333334,331.6666666666667
638,636,Grad Rate -Hispanic,63.0,92.295,68.66666666666667
639,636,Grad Rate -Homeless,27.5,75.11,35.5
640,636,Grad Rate -Limited English Proficient,12.0,80.0,15.0
641,636,Grad Rate -Male,321.0,89.365,358.0
643,636,Grad Rate -Multi-Racial,33.2,92.752,36.0
644,636,Grad Rate -Not Economically Disadvantaged,456.0,94.73333333333335,480.3333333333333
645,636,Grad Rate -Students With Disability,37.0,69.566,53.8
646,636,Grad Rate -Students Without Disability,602.3333333333334,93.53333333333335,642.6666666666666
647,636,Grad Rate -White,378.0,91.92500000000001,408.6666666666667
648,637,Grad Rate -ALL Students,182.0,88.35,206.0
652,637,Grad Rate -Black,54.0,90.0,60.0
653,637,Grad Rate -Economically Disadvantaged,98.0,84.48,116.0
654,637,Grad Rate -Female,86.0,88.66,97.0
656,637,Grad Rate -Hispanic,14.0,77.78,18.0
659,637,Grad Rate -Male,96.0,88.07,109.0
662,637,Grad Rate -Not Economically Disadvantaged,84.0,93.3,90.0
663,637,Grad Rate -Students With Disability,16.0,69.57,23.0
664,637,Grad Rate -Students Without Disability,166.0,90.7,183.0
665,637,Grad Rate -White,100.0,87.72,114.0
666,638,Grad Rate -ALL Students,792.0,87.0675,911.5
667,638,Grad Rate -Active Duty,14.0,87.5,16.0
669,638,Grad Rate -Asian/Pacific Islander,26.666666666666668,83.22666666666666,32.0
670,638,Grad Rate -Black,163.5,83.2675,196.5
671,638,Grad Rate -Economically Disadvantaged,211.0,73.165,283.5
672,638,Grad Rate -Female,399.0,89.87,444.0
674,638,Grad Rate -Hispanic,62.0,80.3275,78.0
675,638,Grad Rate -Homeless,20.0,62.5,32.0
676,638,Grad Rate -Limited English Proficient,14.666666666666666,57.0,29.0
677,638,Grad Rate -Male,393.0,84.36999999999999,467.5
679,638,Grad Rate -Multi-Racial,28.0,89.56249999999999,31.0
680,638,Grad Rate -Not Economically Disadvantaged,581.0,92.625,628.0
681,638,Grad Rate -Students With Disability,57.5,60.315000000000005,96.5
682,638,Grad Rate -Students Without Disability,734.5,90.225,815.0
683,638,Grad Rate -White,515.5,89.38499999999999,577.5
684,639,Grad Rate -ALL Students,90.0,67.67,133.0
688,639,Grad Rate -Black,23.0,69.7,33.0
689,639,Grad Rate -Economically Disadvantaged,90.0,67.67,133.0
690,639,Grad Rate -Female,44.0,69.84,63.0
695,639,Grad Rate -Male,46.0,65.71,70.0
699,639,Grad Rate -Students With Disability,12.0,57.14,21.0
700,639,Grad Rate -Students Without Disability,78.0,69.6,112.0
701,639,Grad Rate -White,59.0,66.29,89.0
702,640,Grad Rate -ALL Students,235.0,87.69,268.0
706,640,Grad Rate -Black,125.0,89.29,140.0
707,640,Grad Rate -Economically Disadvantaged,235.0,87.69,268.0
708,640,Grad Rate -Female,123.0,90.44,136.0
713,640,Grad Rate -Male,112.0,84.85,132.0
717,640,Grad Rate -Students With Disability,23.0,79.31,29.0
718,640,Grad Rate -Students Without Disability,212.0,88.7,239.0
719,640,Grad Rate -White,92.0,85.19,108.0
720,641,Grad Rate -ALL Students,113.0,80.71,140.0
725,641,Grad Rate -Economically Disadvantaged,62.0,75.61,82.0
726,641,Grad Rate -Female,57.0,82.61,69.0
731,641,Grad Rate -Male,56.0,78.87,71.0
734,641,Grad Rate -Not Economically Disadvantaged,51.0,87.9,58.0
735,641,Grad Rate -Students With Disability,12.0,52.17,23.0
736,641,Grad Rate -Students Without Disability,101.0,86.3,117.0
